emp id,first name,last name,department,join date,monthly salary,birth date
CU025,Aubr#ey,Clark,Customer Support & Service,4-Jan-2012,6700,29-Mar-1956
CU026,Preston,Clark,Customer Support & Service,4-Jan-2012,6700,12-Apr-1956
CU031,Josephine,Meyers,Customer Support & Service,5-Jan-2012,6900,5-Nov-1989
CU041,Irene,Ward,Customer Support & Service,14-Jan-2012,6600,20-Sep-1960
CU050,Faith,Gonzales,Customer Support & Service,19-Jan-2012,6500,21-Oct-1961
CU057,Wendy,Richardson,Customer Support & Service,19-Jan-2012,6500,28-Apr-1983
CU059,Dale,Butler,Customer Support & Service,28-Jan-2012,6900,19-Dec-1989
CU064,Laura,Griffin,Customer Support & Service,28-Jan-2012,6800,18-Nov-1950
CU066,Steven,Butler,Customer Support & Service,28-Jan-2012,6900,12-Apr-1950
CU068,Addison,Jones,Customer Support & Service,18-May-2013,6800,2-Dec-1950
CU069,Nathan,Jones,Customer Support & Service,18-May-2013,6800,16-Jan-1951
CU120,Gerald,Harrison,Customer Support & Service,8-Sep-2015,6900,26-May-1950
CU128,Dominique,Reynolds,Customer Support & Service,17-Sep-2015,6500,12-May-1983
CU133,Lily,Marshall,Customer Support & Service,17-Sep-2015,6600,4-Oct-1960
CU135,Timothy,Reynolds,Customer Support & Service,17-Sep-2015,6500,26-Jun-1983
CU137,Bruce,Evans,Customer Support & Service,22-Sep-2015,6900,9-Jun-1950
CU142,Karla,Cook,Customer Support & Service,22-Sep-2015,6800,1-Feb-1951
CU144,Robin,Evans,Customer Support & Service,22-Sep-2015,6900,23-Jul-1950
CU152,Hester,Bailey,Customer Support & Service,5-Mar-2016,6500,10-Jul-1983
CU161,Erin,Perry,Customer Support & Service,11-Mar-2016,6800,14-Mar-1951
CU168,Virginia,Collins,,11-Mar-2016,6800,28-Apr-1951
CU171,Cole,Henderson,Customer Support & Service,19-Mar-2016,6600,18-Nov-1960
CU176,Kristie,Hughes,Customer Support & Service,19-Mar-2016,6900,6-Aug-1950
CU178,Simone,Henderson,Customer Support & Service,19-Mar-2016,6600,2-Dec-1960
CU180,Amelia,Harris,Customer Support & Service,27-Mar-2016,6500,24-Aug-1983
CU181,Oscar,Harris,Customer Support & Service,27-Mar-2016,6500,7-Sep-1983
CU186,Joel,Mcdonald,Customer Support & Service,28-Mar-2016,6600,16-Jan-1961
CU194,Deanna,Myers,Customer Support & Service,5-Nov-2017,6800,7-Sep-1955
CU199,Leo,West,Customer Support & Service,5-Nov-2017,6500,21-Oct-1983
CU201,Taylor,Myers,Customer Support & Service,5-Nov-2017,6800,21-Oct-1955
CU203,Bethany,Baker,Customer Support & Service,14-Nov-2017,6600,1-Feb-1961
CU208,Juliana,Turner,Customer Support & Service,14-Nov-2017,6600,14-Mar-1961
CU210,Randy,Baker,Customer Support & Service,14-Nov-2017,6600,28-Apr-1961
CU218,Jacqueline,Price,Customer Support & Service,22-Nov-2017,6900,20-Sep-1950
CU318,Ellen,Kelly,Customer Support & Service,3-May-2020,6700,26-May-1956
CU323,Lynn,Parker,Customer Support & Service,3-May-2020,6700,9-Jun-1956
CU325,Vaughn,Phillips,Customer Support & Service,3-May-2020,6700,23-Jul-1956
CU328,Cheryl,James,Customer Support & Service,11-May-2020,6500,5-Nov-1983
CU333,Kerry,Wood,Customer Support & Service,11-May-2020,6600,12-May-1961
CU335,Selena,James,Customer Support & Service,11-May-2020,6&500,29-Mar-1950
CU341,Jerome,Woods,Customer Support & Service,19-May-2020,6500,19-Dec-1983
CU350,Harrison,Mitchell,Customer Support & Service,25-May-2020,6800,5-Nov-1955
CU403,Caroline,Rivera,Customer Support & Service,3-Jul-2022,6800,19-Dec-1955
CU408,Keely,Peterson,Customer Support & Service,3-Jul-2022,6500,2-Jan-1984
CU410,Ruth,Rivera,Customer Support & Service,3-Jul-2022,6800,2-Jan-1956
CU417,Jeanne,Alexander,Customer Support & Service,8-Jul-2022,6800,15-Feb-1956
CU427,Grant,Holmes,Customer Support & Service,17-Jul-2022,6700,23-Jul-1960
CU437,Eduardo,Dawson,Customer Support & Service,25-Jul-2022,6600,26-Jun-1961
CU442,Lorraine,Jennings,Customer Support & Service,25-Jul-2022,6900,4-Oct-1950
CU444,Trina,Case,Customer Support & Service,25-Jul-2022,6600,10-Jul-1961
CU534,Fred,Graham,Customer Support & Service,31-Nov-2017,6600,24-Aug-1961
CU541,Wilson,Brooks,Customer Support & Service,31-Jun-2017,6600,7-Sep-1961
CU545,Janice,Long,Customer Support & Service,29-Feb-2015,6700,6-Aug-1960
FI027,Claudia,Barnes,Finance & Accounting,5-Jan-2012,7700,14-Mar-1983
FI032,Kristen,Long,Finance & Accounting,5-Jan-2012,7900,20-Sep-1980
FI034,Sherry,Barnes,Finance & Accounting,5-Jan-2012,7700,28-Apr-1983
FI036,Alice,Jackson,Finance & Accounting,13-Jan-2012,7500,20-Sep-1984
FI037,Owen,Jackson,Finance & Accounting,13-Jan-2012,7500,4-Oct-1984
FI042,Joann,Harrison,Finance & Accounting,14-Jan-2012,7700,12-May-1983
FI051,Herbert,Stewart,Finance & Accounting,19-Jan-2012,7500,18-Nov-1984
FI060,Eric,Coleman,Finance & Accounting,28-Jan-2012,7800,29-Mar-1982
FI067,Viola,Evans,Finance & Accounting,28-Jan-2012,7800,12-Apr-1982
FI114,Abigail,Williams,Finance & Accounting,3-Mar-2015,10500,18-Nov-1958
FI115,Nicholas,Williams,Finance & Accounting,3-Mar-2015,10500,2-Dec-1958
FI121,Jaclyn,Kelly,Finance & Accounting,8-Sep-2015,7900,4-Oct-1980
FI129,Frank,Ford,Finance & Accounting,17-Sep-2015,7700,26-Jun-1983
FI136,Willie,James,Finance & Accounting,17-Sep-2015,7700,10-Jul-1983
FI138,Dawn,Diaz,Finance & Accounting,22-Sep-2015,7800,26-May-1982
FI143,Lena,Woods,Finance & Accounting,22-Sep-2015,7500,2-Dec-1984
FI145,Tanya,Diaz,Finance & Accounting,22-Sep-2015,7800,9-Jun-1982
FI147,Benjamin,Scott,Finance & Accounting,30-Sep-2015,7600,2-Jan-1984
FI148,Ralph,Scott,Finance & Accounting,30-Sep-2015,7600,15-Feb-1984
FI153,Jeremy,Graham,Finance & Accounting,5-Mar-2016,7500,16-Jan-1985
FI162,Harold,Nelson,Finance & Accounting,11-Mar-2016,7800,23-Jul-1982
FI172,Elizabeth,Watson,Finance & Accounting,19-Mar-2016,7900,18-Nov-1980
FI177,Lydia,Turner,Finance & Accounting,19-Mar-2016,7600,29-Mar-1984
FI179,Valerie,Pollard,Finance & Accounting,19-Mar-2016,7900,2-Dec-1980
FI182,Charlotte,Gray,Finance & Accounting,28-Mar-2016,7500,1-Feb-1985
FI187,Kenneth,Price,Finance & Accounting,28-Mar-2016,7700,24-Aug-1983
FI189,Scott,Gray,Finance & Accounting,28-Mar-2016,7500,14-Mar-1985
FI195,Ezra,Simmons,Finance & Accounting,5-Nov-2017,7500,28-Apr-1985
FI202,Warren,Rivera,Finance & Accounting,5-Nov-2017,7500,12-May-1985
FI204,Crystal,Flores,Finance & Accounting,14-Nov-2017,7900,16-Jan-1981
FI209,Lance,Alexander,Finance & Accounting,14-Nov-2017,7800,6-Aug-1982
FI211,Stephen,Flores,Finance & Accounting,14-Nov-2017,7900,1-Feb-1981
FI213,Arthur,Gonzalez,Finance & Accounting,21-Nov-2017,7700,7-Sep-1983
FI214,Perry,Gonzalez,Finance & Accounting,21-Nov-2017,7700,21-Oct-1983
FI219,Jose,Holmes,Finance & Accounting,22-Nov-2017,7900,14-Mar-1981
FI319,Gordon,Rowe,Finance & Accounting,3-May-2020,7600,12-Apr-1984
FI329,Edgar,Ortiz,Finance & Accounting,11-May-2020,7600,26-May-1984
FI334,Lorenzo,Meyers,Finance & Accounting,11-May-2020,7900,28-Apr-1981
FI336,Travis,Payne,Finance & Accounting,11-May-2020,7600,9-Jun-1984
FI337,Carmen,Bell,Finance & Accounting,19-May-2020,7800,20-Sep-1982
FI342,Kaylee,Ward,Finance & Accounting,19-May-2020,7500,26-Jun-1985
FI344,Ruby,Bell,Finance & Accounting,19-May-2020,7800,4-Oct-1982
FI351,Jaylen,Gonzales,Finance & Accounting,25-May-2020,7800,18-Nov-1982
FI404,Diane,Jordan,Finance & Accounting,3-Jul-2022,7500,10-Jul-1985
FI409,Lila,Mcdonald,Finance & Accounting,3-Jul-2022,7700,5-Nov-1983
FI411,Thomas,Jordan,Finance & Accounting,3-Jul-2022,7500,24-Aug-1985
FI413,Brittany,Campbell,Finance & Accounting,8-Jul-2022,7900,12-May-1981
FI418,Kari,Bailey,Finance & Accounting,8-Jul-2022,7800,2-Dec-1982
FI420,Rita,Campbell,Finance & Accounting,8-Jul-2022,7900,2-Jan-1982
FI428,Jane,Perry,Finance & Accounting,17-Jul-2022,7600,23-Jul-1984
FI438,George,Fisher,Finance & Accounting,25-Jul-2022,7900,15-Feb-1982
FI535,Ida,Cox,Finance & Accounting,31-Nov-2017,7700,19-Dec-1983
FI546,Julia,Mitchell,Finance & Accounting,29-Feb-2015,7600,6-Aug-1984
HU074,Jean,Bryant,Human Resources,1-Jun-2013,8800,16-Jan-1973
HU084,Grace,Palmer,Human Resources,10-Jun-2013,8800,1-Feb-1973
HU094,Edith,Murray,Human Resources,18-Jun-2013,8700,12-Apr-1974
HU099,Lori,Norris,Human Resources,18-Jun-2013,8600,12-May-1975
HU101,Trevor,Brewer,Human Resources,18-Jun-2013,8700,26-May-1974
HU102,Carol,Murphy,Human Resources,26-Jun-2013,8800,14-Mar-1973
HU107,Keaton,Torres,Human Resources,26-Jun-2013,8900,2-Jan-1972
HU109,Russell,Murphy,Human Resources,26-Jun-2013,8800,28-Apr-1973
HU230,Georgia,Ellis,Human Resources,1-Aug-2018,8600,26-Jun-1975
HU238,Dominic,Owens,Human Resources,10-Aug-2018,8900,15-Feb-1972
HU243,Lillian,Cruz,Human Resources,10-Aug-2018,8700,9-Jun-1974
HU245,Tiffany,Owens,Human Resources,10-Aug-2018,8900,29-Mar-1972
HU247,Brooke,Parker,Human Resources,15-Aug-2018,8600,10-Jul-1975
HU252,Karl,Reed,Human Resources,15-Aug-2018,8800,12-May-1973
HU254,Robert,Parker,Human Resources,15-Aug-2018,8600,24-Aug-1975
HU262,Janet,Powell,Human Resources,24-Aug-2018,8800,26-Jun-1973
HU271,Erica,Jenkins,Human Resources,4-Feb-2019,8800,10-Jul-1973
HU278,Virgil,Edwards,Human Resources,4-Feb-2019,8800,24-Aug-1973
HU281,Cody,Ross,Human Resources,12-Feb-2019,8700,23-Jul-1974
HU286,Kristi,Patterson,Human Resources,12-Feb-2019,8600,7-Sep-1975
HU288,Simon,Ross,Human Resources,12-Feb-2019,8700,6-Aug-1974
HU290,Allison,White,Human Resources,20-Feb-2019,8800,7-Sep-1973
HU291,Ophelia,White,Human Resources,20-Feb-2019,8800,21-Oct-1973
HU296,Joanne,Gibson,Human Resources,21-Feb-2019,8700,20-Sep-1974
HU304,Herman,Morris,Human Resources,26-Feb-2019,8900,12-Apr-1972
HU313,Adam,Brown,Human Resources,10-Apr-2020,7800,16-Jan-1983
HU314,Nicole,Brown,Human Resources,10-Apr-2020,7800,1-Feb-1983
HU358,Bernice,Green,Human Resources,7-Oct-2021,8700,4-Oct-1974
HU363,Julian,Roberts,Human Resources,7-Oct-2021,8700,18-Nov-1974
HU365,Ramona,Green,Human Resources,7-Oct-2021,8700,2-Dec-1974
HU373,Jacob,Sanders,Human Resources,15-Oct-2021,8600,21-Oct-1975
